Rank;Sourceid;Title;Type;Issn;SJR Best Quartile;H index;Categories
164;21100456838;Cell Chemical Biology;journal;24519448,24519460;Q1;198;Biochemistry (Q1),Clinical Biochemistry (Q1),Drug Discovery (Q1),Molecular Biology (Q1),Molecular Medicine (Q1),Pharmacology (Q1)
165;17379;Molecular and Cellular Neurosciences;journal;10959327,10447430;Q1;144;Cell Biology (Q1),Cellular and Molecular Neuroscience (Q1),Molecular Biology (Q1)
166;20298;Molecular Microbiology;journal;13652958,0950382X;Q1;263;Microbiology (Q1),Molecular Biology (Q1)
167;12010;Annual Review of Psychology;journal;664308,15452085;Q1;266;Psychology (miscellaneous) (Q1)
168;14317;Brain;journal;14602156,00068950;Q1;365;Medicine (miscellaneous) (Q1),Neurology (clinical) (Q1)
169;110092;Morbidity and Mortality Weekly Report;journal;01492195,1545861X;Q1;247;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
170;26756;Astronomy and Astrophysics Review;journal;9354956,14320754;Q1;74;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
171;17426;DNA Research;journal;17561663,13402840;Q1;108;Genetics (Q1),Medicine (miscellaneous) (Q1),Molecular Biology (Q1)
172;24660;Bulletin of the American Mathematical Society;journal;2730979,10889485;Q1;65;Applied Mathematics (Q1),Mathematics (miscellaneous) (Q1)
173;15049;Biometrika;journal;14643510,00063440;Q1;127;Agricultural and Biological Sciences (miscellaneous) (Q1),Applied Mathematics (Q1),Mathematics (miscellaneous) (Q1),Statistics and Probability (Q1),Statistics,Probability and Uncertainty (Q1)
174;29949;Journal of Clinical Oncology;journal;15277755,0732183X;Q1;600;Cancer Research (Q1),Medicine (miscellaneous) (Q1),Oncology (Q1)
175;22566;Earth and Planetary Science Letters;journal;0012821X;Q1;276;Earth and Planetary Sciences (miscellaneous) (Q1),Geochemistry and Petrology (Q1),Geophysics (Q1),Space and Planetary Science (Q1)
176;25487;Diabetes;journal;121797;Q1;359;Endocrinology,Diabetes and Metabolism (Q1),Internal Medicine (Q1)
177;26005;IEEE Electron Device Letters;journal;7413106;Q1;166;Electrical and Electronic Engineering (Q1),Electronic,Optical and Magnetic Materials (Q1)
178;17664;American Journal of Psychiatry;journal;0002953X,15357228;Q1;381;Psychiatry and Mental Health (Q1)
179;28978;Journal of Economic Growth;journal;15737020,13814340;Q1;95;Economics and Econometrics (Q1)
180;19040;Seminars in Cell and Developmental Biology;journal;10963634,10849520;Q1;160;Cell Biology (Q1),Developmental Biology (Q1)
181;22687;Angewandte Chemie - International Edition;journal;14337851,15213770;Q1;612;Catalysis (Q1),Chemistry (miscellaneous) (Q1)
182;24032;Reviews of Physiology Biochemistry and Pharmacology;journal;16175786,03034240;Q1;69;Biochemistry (Q1),Medicine (miscellaneous) (Q1),Pharmacology (Q1),Physiology (Q1),Physiology (medical) (Q1)
183;27498;Annual Review of Medicine;journal;1545326X,00664219;Q1;174;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
184;20752;Critical Reviews in Immunology;journal;10408401;Q1;81;Immunology (Q1)
185;27035;Progress in Solid State Chemistry;journal;796786;Q1;55;Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Physical and Theoretical Chemistry (Q1)
